zip,primary_city,state,county, 
68002,Arlington,NE,Washington County,402
68003,Ashland,NE,Saunders County,402
68004,Bancroft,NE,Cuming County,402
68005,Bellevue,NE,Sarpy County,402
68007,Bennington,NE,Douglas County,402
68008,Blair,NE,Washington County,402
68014,Bruno,NE,Butler County,402
68015,Cedar Bluffs,NE,Saunders County,402
68017,Ceresco,NE,Saunders County,402
68018,Colon,NE,Saunders County,402
68019,Craig,NE,Burt County,402
68020,Decatur,NE,Burt County,402
68022,Elkhorn,NE,Douglas County,402
68023,Fort Calhoun,NE,Washington County,402
68025,Fremont,NE,Dodge County,402
68028,Gretna,NE,Sarpy County,402
68029,Herman,NE,Washington County,402
68030,Homer,NE,Dakota County,402
68031,Hooper,NE,Dodge County,402
68033,Ithaca,NE,Saunders County,402
68034,Kennard,NE,Washington County,402
68036,Linwood,NE,Butler County,402
68037,Louisville,NE,Cass County,402
68038,Lyons,NE,Burt County,402
68039,Macy,NE,Thurston County,402
68040,Malmo,NE,Saunders County,402
68041,Mead,NE,Saunders County,402
68042,Memphis,NE,Saunders County,402
68044,Nickerson,NE,Dodge County,402
68045,Oakland,NE,Burt County,402
68046,Papillion,NE,Sarpy County,402
68047,Pender,NE,Thurston County,402
68048,Plattsmouth,NE,Cass County,402
68050,Prague,NE,Saunders County,402
68055,Rosalie,NE,Thurston County,402
68056,St Columbans,NE,Sarpy County,402
68057,Scribner,NE,Dodge County,402
68059,Springfield,NE,Sarpy County,402
68061,Tekamah,NE,Burt County,402
68062,Thurston,NE,Thurston County,402
68064,Valley,NE,Douglas County,402
68065,Valparaiso,NE,Saunders County,402
68066,Wahoo,NE,Saunders County,402
68067,Walthill,NE,Thurston County,402
68068,Washington,NE,Washington County,402
68069,Waterloo,NE,Douglas County,402
68070,Weston,NE,Saunders County,402
68071,Winnebago,NE,Thurston County,402
68073,Yutan,NE,Saunders County,402
68102,Omaha,NE,Douglas County,402
68104,Omaha,NE,Douglas County,402
68105,Omaha,NE,Douglas County,402
68106,Omaha,NE,Douglas County,402
68107,Omaha,NE,Douglas County,402
68108,Omaha,NE,Douglas County,402
68110,Omaha,NE,Douglas County,402
68111,Omaha,NE,Douglas County,402
68112,Omaha,NE,Douglas County,402
68113,Offutt A F B,NE,Sarpy County,402
68114,Omaha,NE,Douglas County,402
68116,Omaha,NE,Douglas County,402
68117,Omaha,NE,Douglas County,402
68118,Omaha,NE,Douglas County,402
68122,Omaha,NE,Douglas County,402
68123,Bellevue,NE,Sarpy County,402
68124,Omaha,NE,Douglas County,402
68127,Omaha,NE,Douglas County,402
68128,La Vista,NE,Sarpy County,402
68130,Omaha,NE,Douglas County,402
68131,Omaha,NE,Douglas County,402
68132,Omaha,NE,Douglas County,402
68133,Papillion,NE,Sarpy County,402
68134,Omaha,NE,Douglas County,"402,712"
68135,Omaha,NE,Douglas County,402
68136,Omaha,NE,Sarpy County,402
68137,Omaha,NE,Douglas County,402
68138,Omaha,NE,Sarpy County,402
68142,Omaha,NE,Douglas County,402
68144,Omaha,NE,Douglas County,402
68147,Bellevue,NE,Sarpy County,402
68152,Omaha,NE,Douglas County,402
68154,Omaha,NE,Douglas County,402
68157,Omaha,NE,Sarpy County,402
68164,Omaha,NE,Douglas County,402
68182,Omaha,NE,Douglas County,402
68301,Adams,NE,Gage County,402
68303,Alexandria,NE,Thayer County,402
68304,Alvo,NE,Cass County,402
68305,Auburn,NE,Nemaha County,402
68307,Avoca,NE,Cass County,402
68309,Barneston,NE,Gage County,402
68310,Beatrice,NE,Gage County,402
68313,Beaver Crossing,NE,Seward County,402
68314,Bee,NE,Seward County,402
68315,Belvidere,NE,Thayer County,402
68316,Benedict,NE,York County,402
68317,Bennet,NE,Lancaster County,402
68318,Blue Springs,NE,Gage County,402
68319,Bradshaw,NE,York County,402
68320,Brock,NE,Nemaha County,402
68321,Brownville,NE,Nemaha County,402
68322,Bruning,NE,Thayer County,402
68323,Burchard,NE,Pawnee County,402
68324,Burr,NE,Otoe County,402
68325,Byron,NE,Thayer County,"402,785"
68326,Carleton,NE,Thayer County,402
68327,Chester,NE,Thayer County,"402,785"
68328,Clatonia,NE,Gage County,402
68329,Cook,NE,Johnson County,402
68331,Cortland,NE,Gage County,402
68332,Crab Orchard,NE,Johnson County,402
68333,Crete,NE,Saline County,402
68335,Davenport,NE,Thayer County,402
68336,Davey,NE,Lancaster County,402
68337,Dawson,NE,Richardson County,402
68338,Daykin,NE,Jefferson County,402
68339,Denton,NE,Lancaster County,402
68340,Deshler,NE,Thayer County,402
68341,De Witt,NE,Saline County,402
68342,Diller,NE,Jefferson County,402
68343,Dorchester,NE,Saline County,402
68344,Douglas,NE,Otoe County,402
68345,Du Bois,NE,Pawnee County,402
68346,Dunbar,NE,Otoe County,402
68347,Eagle,NE,Cass County,402
68348,Elk Creek,NE,Johnson County,402
68349,Elmwood,NE,Cass County,402
68350,Endicott,NE,Jefferson County,402
68351,Exeter,NE,Fillmore County,402
68352,Fairbury,NE,Jefferson County,402
68354,Fairmont,NE,Fillmore County,402
68355,Falls City,NE,Richardson County,402
68357,Filley,NE,Gage County,402
68358,Firth,NE,Lancaster County,402
68359,Friend,NE,Saline County,402
68360,Garland,NE,Seward County,402
68361,Geneva,NE,Fillmore County,402
68365,Grafton,NE,Fillmore County,402
68366,Greenwood,NE,Cass County,402
68367,Gresham,NE,York County,402
68368,Hallam,NE,Lancaster County,402
68370,Hebron,NE,Thayer County,402
68371,Henderson,NE,York County,402
68372,Hickman,NE,Lancaster County,402
68375,Hubbell,NE,Thayer County,402
68376,Humboldt,NE,Richardson County,402
68377,Jansen,NE,Jefferson County,402
68378,Johnson,NE,Nemaha County,402
68379,Julian,NE,Nemaha County,402
68380,Lewiston,NE,Pawnee County,402
68381,Liberty,NE,Gage County,402
68382,Lorton,NE,Otoe County,402
68401,Mc Cool Junction,NE,York County,402
68402,Malcolm,NE,Lancaster County,402
68404,Martell,NE,Lancaster County,402
68405,Milford,NE,Seward County,402
68406,Milligan,NE,Fillmore County,402
68407,Murdock,NE,Cass County,402
68409,Murray,NE,Cass County,402
68410,Nebraska City,NE,Otoe County,402
68413,Nehawka,NE,Cass County,402
68414,Nemaha,NE,Nemaha County,402
68415,Odell,NE,Gage County,402
68416,Ohiowa,NE,Fillmore County,402
68417,Otoe,NE,Otoe County,402
68418,Palmyra,NE,Otoe County,402
68420,Pawnee City,NE,Pawnee County,402
68421,Peru,NE,Nemaha County,402
68422,Pickrell,NE,Gage County,402
68423,Pleasant Dale,NE,Seward County,402
68424,Plymouth,NE,Jefferson County,402
68428,Raymond,NE,Lancaster County,402
68429,Reynolds,NE,Jefferson County,402
68430,Roca,NE,Lancaster County,402
68431,Rulo,NE,Richardson County,402
68433,Salem,NE,Richardson County,402
68434,Seward,NE,Seward County,402
68436,Shickley,NE,Fillmore County,402
68437,Shubert,NE,Richardson County,402
68439,Staplehurst,NE,Seward County,402
68440,Steele City,NE,Jefferson County,402
68441,Steinauer,NE,Pawnee County,402
68442,Stella,NE,Richardson County,402
68443,Sterling,NE,Johnson County,402
68444,Strang,NE,Fillmore County,402
68445,Swanton,NE,Saline County,402
68446,Syracuse,NE,Otoe County,402
68447,Table Rock,NE,Pawnee County,402
68448,Talmage,NE,Otoe County,402
68450,Tecumseh,NE,Johnson County,402
68452,Ong,NE,Clay County,402
68453,Tobias,NE,Saline County,402
68454,Unadilla,NE,Otoe County,402
68455,Union,NE,Cass County,402
68456,Utica,NE,Seward County,402
68457,Verdon,NE,Richardson County,402
68458,Virginia,NE,Gage County,402
68460,Waco,NE,York County,402
68461,Walton,NE,Lancaster County,402
68462,Waverly,NE,Lancaster County,402
68463,Weeping Water,NE,Cass County,402
68464,Western,NE,Saline County,402
68465,Wilber,NE,Saline County,402
68466,Wymore,NE,Gage County,402
68467,York,NE,York County,402
68502,Lincoln,NE,Lancaster County,402
68503,Lincoln,NE,Lancaster County,402
68504,Lincoln,NE,Lancaster County,402
68505,Lincoln,NE,Lancaster County,402
68506,Lincoln,NE,Lancaster County,402
68507,Lincoln,NE,Lancaster County,402
68508,Lincoln,NE,Lancaster County,402
68510,Lincoln,NE,Lancaster County,402
68512,Lincoln,NE,Lancaster County,402
68514,Lincoln,NE,Lancaster County,402
68516,Lincoln,NE,Lancaster County,402
68517,Lincoln,NE,Lancaster County,402
68520,Lincoln,NE,Lancaster County,402
68521,Lincoln,NE,Lancaster County,402
68522,Lincoln,NE,Lancaster County,402
68523,Lincoln,NE,Lancaster County,402
68524,Lincoln,NE,Lancaster County,402
68526,Lincoln,NE,Lancaster County,402
68527,Lincoln,NE,Lancaster County,402
68528,Lincoln,NE,Lancaster County,402
68531,Lincoln,NE,Lancaster County,402
68532,Lincoln,NE,Lancaster County,402
68601,Columbus,NE,Platte County,"402,308"
68620,Albion,NE,Boone County,"402,308"
68621,Ames,NE,Dodge County,402
68622,Bartlett,NE,Wheeler County,"308,402"
68623,Belgrade,NE,Nance County,308
68624,Bellwood,NE,Butler County,402
68626,Brainard,NE,Butler County,402
68627,Cedar Rapids,NE,Boone County,"308,402"
68628,Clarks,NE,Merrick County,"308,402"
68629,Clarkson,NE,Colfax County,402
68631,Creston,NE,Platte County,402
68632,David City,NE,Butler County,402
68633,Dodge,NE,Dodge County,402
68635,Dwight,NE,Butler County,402
68636,Elgin,NE,Antelope County,402
68637,Ericson,NE,Wheeler County,308
68638,Fullerton,NE,Nance County,308
68640,Genoa,NE,Nance County,"402,308"
68641,Howells,NE,Colfax County,402
68642,Humphrey,NE,Platte County,402
68643,Leigh,NE,Colfax County,402
68644,Lindsay,NE,Platte County,402
68647,Monroe,NE,Platte County,402
68648,Morse Bluff,NE,Saunders County,402
68649,North Bend,NE,Dodge County,402
68651,Osceola,NE,Polk County,402
68652,Petersburg,NE,Boone County,402
68653,Platte Center,NE,Platte County,402
68654,Polk,NE,Polk County,402
68655,Primrose,NE,Boone County,308
68658,Rising City,NE,Butler County,402
68659,Rogers,NE,Colfax County,402
68660,Saint Edward,NE,Boone County,402
68661,Schuyler,NE,Colfax County,402
68662,Shelby,NE,Polk County,402
68663,Silver Creek,NE,Merrick County,"308,402"
68665,Spalding,NE,Greeley County,308
68666,Stromsburg,NE,Polk County,402
68667,Surprise,NE,Butler County,402
68669,Ulysses,NE,Butler County,402
68701,Norfolk,NE,Madison County,402
68710,Allen,NE,Dixon County,402
68711,Amelia,NE,Holt County,"308,402"
68713,Atkinson,NE,Holt County,402
68714,Bassett,NE,Rock County,402
68715,Battle Creek,NE,Madison County,402
68716,Beemer,NE,Cuming County,402
68717,Belden,NE,Cedar County,402
68718,Bloomfield,NE,Knox County,402
68719,Bristow,NE,Boyd County,402
68720,Brunswick,NE,Antelope County,402
68722,Butte,NE,Boyd County,402
68723,Carroll,NE,Wayne County,402
68724,Center,NE,Knox County,402
68725,Chambers,NE,Holt County,402
68726,Clearwater,NE,Antelope County,402
68727,Coleridge,NE,Cedar County,402
68728,Concord,NE,Dixon County,402
68729,Creighton,NE,Knox County,402
68730,Crofton,NE,Knox County,402
68731,Dakota City,NE,Dakota County,402
68732,Dixon,NE,Dixon County,402
68733,Emerson,NE,Dakota County,402
68734,Emmet,NE,Holt County,402
68735,Ewing,NE,Holt County,402
68736,Fordyce,NE,Cedar County,402
68739,Hartington,NE,Cedar County,402
68740,Hoskins,NE,Wayne County,402
68741,Hubbard,NE,Dakota County,402
68742,Inman,NE,Holt County,402
68743,Jackson,NE,Dakota County,402
68745,Laurel,NE,Cedar County,402
68746,Lynch,NE,Boyd County,402
68747,Mclean,NE,Pierce County,402
68748,Madison,NE,Madison County,402
68751,Maskell,NE,Dixon County,402
68752,Meadow Grove,NE,Madison County,402
68753,Mills,NE,Keya Paha County,402
68755,Naper,NE,Boyd County,402
68756,Neligh,NE,Antelope County,402
68757,Newcastle,NE,Dixon County,402
68758,Newman Grove,NE,Madison County,402
68759,Newport,NE,Rock County,402
68760,Niobrara,NE,Knox County,402
68761,Oakdale,NE,Antelope County,402
68763,Oneill,NE,Holt County,402
68764,Orchard,NE,Antelope County,402
68765,Osmond,NE,Pierce County,402
68766,Page,NE,Holt County,402
68767,Pierce,NE,Pierce County,402
68768,Pilger,NE,Stanton County,402
68769,Plainview,NE,Pierce County,402
68770,Ponca,NE,Dixon County,402
68771,Randolph,NE,Cedar County,402
68773,Royal,NE,Antelope County,402
68774,Saint Helena,NE,Cedar County,402
68776,South Sioux City,NE,Dakota County,402
68777,Spencer,NE,Boyd County,402
68778,Springview,NE,Keya Paha County,402
68779,Stanton,NE,Stanton County,402
68780,Stuart,NE,Holt County,402
68781,Tilden,NE,Madison County,402
68783,Verdigre,NE,Knox County,402
68784,Wakefield,NE,Dixon County,402
68785,Waterbury,NE,Dixon County,402
68786,Wausa,NE,Knox County,402
68787,Wayne,NE,Wayne County,402
68788,West Point,NE,Cuming County,402
68789,Winnetoon,NE,Knox County,402
68790,Winside,NE,Wayne County,402
68791,Wisner,NE,Cuming County,402
68792,Wynot,NE,Cedar County,402
68801,Grand Island,NE,Hall County,308
68803,Grand Island,NE,Hall County,308
68810,Alda,NE,Hall County,308
68812,Amherst,NE,Buffalo County,308
68813,Anselmo,NE,Custer County,308
68814,Ansley,NE,Custer County,308
68815,Arcadia,NE,Valley County,308
68816,Archer,NE,Merrick County,308
68817,Ashton,NE,Sherman County,308
68818,Aurora,NE,Hamilton County,402
68820,Boelus,NE,Howard County,308
68821,Brewster,NE,Blaine County,308
68822,Broken Bow,NE,Custer County,308
68823,Burwell,NE,Garfield County,308
68824,Cairo,NE,Hall County,308
68825,Callaway,NE,Custer County,308
68826,Central City,NE,Merrick County,308
68827,Chapman,NE,Merrick County,308
68828,Comstock,NE,Custer County,308
68831,Dannebrog,NE,Howard County,308
68832,Doniphan,NE,Hall County,"402,308"
68833,Dunning,NE,Blaine County,308
68834,Eddyville,NE,Dawson County,308
68835,Elba,NE,Howard County,308
68836,Elm Creek,NE,Buffalo County,308
68837,Elyria,NE,Valley County,308
68838,Farwell,NE,Howard County,308
68840,Gibbon,NE,Buffalo County,308
68841,Giltner,NE,Hamilton County,402
68842,Greeley,NE,Greeley County,308
68843,Hampton,NE,Hamilton County,402
68844,Hazard,NE,Sherman County,308
68845,Kearney,NE,Buffalo County,308
68846,Hordville,NE,Hamilton County,"402,308"
68847,Kearney,NE,Buffalo County,308
68850,Lexington,NE,Dawson County,308
68852,Litchfield,NE,Sherman County,308
68853,Loup City,NE,Sherman County,308
68854,Marquette,NE,Hamilton County,"402,308"
68855,Mason City,NE,Custer County,308
68856,Merna,NE,Custer County,308
68858,Miller,NE,Buffalo County,308
68859,North Loup,NE,Valley County,308
68860,Oconto,NE,Custer County,308
68861,Odessa,NE,Buffalo County,
68862,Ord,NE,Valley County,308
68863,Overton,NE,Dawson County,308
68864,Palmer,NE,Merrick County,308
68865,Phillips,NE,Hamilton County,402
68866,Pleasanton,NE,Buffalo County,308
68869,Ravenna,NE,Buffalo County,308
68870,Riverdale,NE,Buffalo County,308
68871,Rockville,NE,Sherman County,308
68872,Saint Libory,NE,Howard County,308
68873,Saint Paul,NE,Howard County,308
68874,Sargent,NE,Custer County,308
68875,Scotia,NE,Greeley County,308
68876,Shelton,NE,Buffalo County,308
68878,Sumner,NE,Dawson County,308
68879,Taylor,NE,Loup County,308
68881,Westerville,NE,Custer County,308
68882,Wolbach,NE,Greeley County,308
68883,Wood River,NE,Hall County,"308,402"
68901,Hastings,NE,Adams County,402
68920,Alma,NE,Harlan County,308
68922,Arapahoe,NE,Furnas County,308
68924,Axtell,NE,Kearney County,"308,402"
68925,Ayr,NE,Adams County,402
68926,Beaver City,NE,Furnas County,308
68927,Bertrand,NE,Phelps County,308
68928,Bladen,NE,Webster County,"308,402"
68929,Bloomington,NE,Franklin County,308
68930,Blue Hill,NE,Webster County,402
68932,Campbell,NE,Franklin County,402
68933,Clay Center,NE,Clay County,402
68934,Deweese,NE,Clay County,402
68935,Edgar,NE,Clay County,402
68936,Edison,NE,Furnas County,308
68937,Elwood,NE,Gosper County,308
68938,Fairfield,NE,Clay County,402
68939,Franklin,NE,Franklin County,308
68940,Funk,NE,Phelps County,308
68941,Glenvil,NE,Clay County,402
68942,Guide Rock,NE,Webster County,402
68943,Hardy,NE,Nuckolls County,402
68944,Harvard,NE,Clay County,402
68945,Heartwell,NE,Kearney County,308
68946,Hendley,NE,Furnas County,308
68947,Hildreth,NE,Franklin County,308
68948,Holbrook,NE,Furnas County,308
68949,Holdrege,NE,Phelps County,308
68950,Holstein,NE,Adams County,402
68952,Inavale,NE,Webster County,402
68954,Inland,NE,Clay County,402
68955,Juniata,NE,Adams County,402
68956,Kenesaw,NE,Adams County,"402,308"
68957,Lawrence,NE,Nuckolls County,402
68958,Loomis,NE,Phelps County,308
68959,Minden,NE,Kearney County,"308,402"
68960,Naponee,NE,Franklin County,308
68961,Nelson,NE,Nuckolls County,402
68964,Oak,NE,Nuckolls County,402
68966,Orleans,NE,Harlan County,308
68967,Oxford,NE,Harlan County,308
68970,Red Cloud,NE,Webster County,"402,785"
68971,Republican City,NE,Harlan County,308
68972,Riverton,NE,Franklin County,402
68973,Roseland,NE,Adams County,402
68974,Ruskin,NE,Nuckolls County,402
68975,Saronville,NE,Clay County,402
68976,Smithfield,NE,Gosper County,308
68977,Stamford,NE,Harlan County,308
68978,Superior,NE,Nuckolls County,"402,785"
68979,Sutton,NE,Clay County,402
68980,Trumbull,NE,Clay County,402
68981,Upland,NE,Franklin County,"308,402"
68982,Wilcox,NE,Kearney County,308
69001,Mc Cook,NE,Red Willow County,308
69020,Bartley,NE,Red Willow County,308
69021,Benkelman,NE,Dundy County,308
69022,Cambridge,NE,Furnas County,308
69023,Champion,NE,Chase County,308
69024,Culbertson,NE,Hitchcock County,308
69025,Curtis,NE,Frontier County,308
69026,Danbury,NE,Red Willow County,"308,785"
69027,Enders,NE,Chase County,308
69028,Eustis,NE,Frontier County,308
69029,Farnam,NE,Dawson County,308
69030,Haigler,NE,Dundy County,308
69032,Hayes Center,NE,Hayes County,308
69033,Imperial,NE,Chase County,308
69034,Indianola,NE,Red Willow County,308
69036,Lebanon,NE,Red Willow County,308
69037,Max,NE,Dundy County,308
69038,Maywood,NE,Frontier County,308
69039,Moorefield,NE,Frontier County,308
69040,Palisade,NE,Hayes County,308
69041,Parks,NE,Dundy County,308
69042,Stockville,NE,Frontier County,308
69043,Stratton,NE,Hitchcock County,308
69044,Trenton,NE,Hitchcock County,308
69045,Wauneta,NE,Chase County,308
69046,Wilsonville,NE,Furnas County,308
69101,North Platte,NE,Lincoln County,308
69120,Arnold,NE,Custer County,308
69121,Arthur,NE,Arthur County,308
69122,Big Springs,NE,Deuel County,308
69123,Brady,NE,Lincoln County,308
69125,Broadwater,NE,Morrill County,308
69127,Brule,NE,Keith County,308
69128,Bushnell,NE,Kimball County,308
69129,Chappell,NE,Deuel County,308
69130,Cozad,NE,Dawson County,308
69131,Dalton,NE,Cheyenne County,308
69132,Dickens,NE,Lincoln County,308
69133,Dix,NE,Kimball County,308
69134,Elsie,NE,Perkins County,308
69135,Elsmere,NE,Cherry County,308
69138,Gothenburg,NE,Dawson County,308
69140,Grant,NE,Perkins County,308
69141,Gurley,NE,Cheyenne County,308
69142,Halsey,NE,Thomas County,308
69143,Hershey,NE,Lincoln County,308
69144,Keystone,NE,Keith County,308
69145,Kimball,NE,Kimball County,308
69146,Lemoyne,NE,Keith County,308
69147,Lewellen,NE,Garden County,308
69148,Lisco,NE,Garden County,308
69149,Lodgepole,NE,Cheyenne County,308
69150,Madrid,NE,Perkins County,308
69151,Maxwell,NE,Lincoln County,308
69152,Mullen,NE,Hooker County,308
69153,Ogallala,NE,Keith County,308
69154,Oshkosh,NE,Garden County,308
69155,Paxton,NE,Keith County,308
69156,Potter,NE,Cheyenne County,308
69157,Purdum,NE,Blaine County,308
69161,Seneca,NE,Thomas County,308
69162,Sidney,NE,Cheyenne County,308
69163,Stapleton,NE,Logan County,308
69165,Sutherland,NE,Lincoln County,308
69166,Thedford,NE,Thomas County,308
69167,Tryon,NE,McPherson County,308
69168,Venango,NE,Perkins County,308
69169,Wallace,NE,Lincoln County,308
69170,Wellfleet,NE,Lincoln County,308
69171,Willow Island,NE,Dawson County,308
69201,Valentine,NE,Cherry County,"402,605,308"
69210,Ainsworth,NE,Brown County,402
69211,Cody,NE,Cherry County,"605,402,308"
69212,Crookston,NE,Cherry County,"402,605"
69214,Johnstown,NE,Brown County,402
69216,Kilgore,NE,Cherry County,"402,605"
69217,Long Pine,NE,Brown County,402
69218,Merriman,NE,Cherry County,308
69219,Nenzel,NE,Cherry County,402
69220,Sparks,NE,Cherry County,402
69221,Wood Lake,NE,Cherry County,402
69301,Alliance,NE,Box Butte County,308
69331,Angora,NE,Morrill County,308
69333,Ashby,NE,Grant County,308
69334,Bayard,NE,Morrill County,308
69335,Bingham,NE,Sheridan County,308
69336,Bridgeport,NE,Morrill County,308
69337,Chadron,NE,Dawes County,308
69339,Crawford,NE,Dawes County,308
69340,Ellsworth,NE,Sheridan County,308
69341,Gering,NE,Scotts Bluff County,308
69343,Gordon,NE,Sheridan County,308
69345,Harrisburg,NE,Banner County,308
69346,Harrison,NE,Sioux County,308
69347,Hay Springs,NE,Sheridan County,308
69348,Hemingford,NE,Box Butte County,308
69350,Hyannis,NE,Grant County,308
69351,Lakeside,NE,Sheridan County,308
69352,Lyman,NE,Scotts Bluff County,308
69354,Marsland,NE,Dawes County,308
69356,Minatare,NE,Scotts Bluff County,308
69357,Mitchell,NE,Scotts Bluff County,308
69358,Morrill,NE,Scotts Bluff County,308
69360,Rushville,NE,Sheridan County,308
69361,Scottsbluff,NE,Scotts Bluff County,308
69366,Whitman,NE,Grant County,308
69367,Whitney,NE,Dawes County,308